Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 Ð°fer methacholine;Severity
IL12;;2.654738878;0.422469375;NA;NA;NA;164.7;26.21;NA;NA;NA;pM;pg/ml;Blood;Healthy control;Median;SD;PMID;20548133;;Article;;;;;;11;;;;;;;;;;;;
IL12;;0.161186331;NA;0.322372663;NA;0.322372663;10;NA;20;NA;20;pM;pg/ml;Plasma;Healthy control;Mean;Not specified;PMID;24825462;;Article;;;;;;20;;;;;;;;;;;;
IL12;;0.042714378;0.143294649;NA;NA;NA;2.65;8.89;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;25980674;table 2;Article;;;;;;8;;;;;;;;;;;;
IL12;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;NA;NA;PMID;12072014;Fig 2, left column, line 13, page 227;Article;;4;6;29.8;;1;;;;;;;;;;;;
IL12;;0.001611863;NA;NA;NA;NA;0.1;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;NA;PMID;17332188;table 3;Article;;85;102;;;187;;;;;;;;;;;;
IL12;;0.001611863;NA;NA;NA;NA;0.1;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;NA;PMID;17332188;table 3;Article;;86;100;;;186;;;;;;;;;;;;
IL12;;0.00483559;0.001611863;NA;NA;NA;0.3;0.1;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SD;PMID;24364843;Fig.2A,p.205;Article;;25;;;;25;;;;;;;;;;;;
IL12;;0.032237266;0.032237266;0.838168923;0.032237266;0.838168923;2;2;52;2;52;pM;pg/ml;Serum;Healthy control;Median;Not specified;PMID;17047294;table 1;Article;;10;9;;;19;;;;;;;;;;;;
IL12;;1.029980658;0.367504836;2.730496454;0.367504836;2.730496454;63.9;22.8;169.4;22.8;169.4;pM;pg/ml;Plasma;Healthy control;Median;Not specified;PMID;26059032;Table 2, p.6;Article;;;9;55;;9;;;;;;;;;;;;
IL12;;0.020309478;0.011283043;NA;NA;NA;1.26;0.7;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;24288431;table 1;Article;;;;;;30;;;;;;;;;;;;
IL12;;0.24032882;0.113636364;NA;NA;NA;14.91;7.05;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;GeomMean;GeomSD;PMID;20501772;tab 2, p 1581;Article;;34;52;54;;86;;25.3;;;;;;;;;;
IL12;;3.368794326;2.240490006;4.98065764;NA;NA;209;139;309;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;20373009;tab 3, p 16;Article;European/African-American/Latina;;;57.3;;184;67.2;25.5;162.5;never/current/past smoker;;;;;;;;
IL12;;0.00483559;0.00483559;NA;NA;NA;0.3;0.3;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SD;PMID;24163809;Fig. 4, p. 5;Article;;;;;;270;;;;;;;;;;;;
IL12;;0.099935525;0.082205029;0.151515152;NA;NA;6.2;5.1;9.4;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;25587794;Tab. 1, p. 693;Article;;10;9;51.1;;19;;;;;;;;;;;;
IL12p40;;0.677966102;0.699488835;NA;NA;NA;25.2;26;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;30814550;tab 4, p 6;Article;;10;17;45.2;;27;;28;;;;;;;;;;
IL12p40;;0.669895077;0.357546408;NA;NA;NA;24.9;13.29;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;16258194;Table 1, p. 274;Article;;;;;;23;;;;;;;;;;;;
IL12p40;;4.603174603;0.175410277;NA;NA;NA;171.1;6.52;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SE;PMID;17438101;Tab. 1, p. 2424;Article;;;;;;378;;;;;;;;;;;;
IL12b;;1.04842615;0.215496368;NA;NA;NA;38.97;8.01;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;SD;PMID;26424214;;Article;;;;;;6;;;;;;;;;;;;
IL12p70;;0.002105263;0.000578947;0.007894737;NA;NA;0.4;0.11;1.5;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;20373009;tab 3, p 16;Article;European/African-American/Latina;;;57.3;;184;67.2;25.5;162.5;never/current/past smoker;;;;;;;;
IL12p70;;0.963157895;0.000526316;9.294736842;0.000526316;9.294736842;183;0.1;1766;0.1;1766;pM;pg/mL;Serum;Healthy control;Mean;Not specified;PMID;28398462;Fig. 1, p. 562;Article;;5;11;59.2;;16;;;;Ex - 7/current - 3/non-smoker - 6;;;;;;109;;
IL12p70;;0.006;0.006;0.037368421;NA;NA;1.14;1.14;7.1;NA;NA;pM;pg/mL;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;;;;;4;;;;;;;;;;;;
IL12p70;;0.041052632;0.015789474;0.065789474;NA;NA;7.8;3;12.5;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;11;2;49;;13;;;;No current smoking;;;;;;;;
IL12p70;;0.027368421;0.005;0.048421053;NA;NA;5.2;0.95;9.2;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;19;9;49;;28;;;;Current smoking - 3;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Serum;Plasma;Sputum;linning fluid;lymph node;Blood;BAL;EBC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HC;0.099935525;0.161186331;NA;#VALUE!;0.00483559;2.654738878;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID-19;NA;0.034210526;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
